relative folder path,file name and extension,description of the music and requirements,prompt for generative ai
assets/music,main_menu.ogg,Main menu theme - welcoming, atmospheric music for the title screen,"Create an atmospheric main menu theme. Welcoming orchestral music with a sense of adventure and mystery. Should be calm but engaging, perfect for a title screen. Duration: 2-3 minutes, should loop seamlessly. Mix of acoustic and electronic elements to feel modern yet fantasy-appropriate."
assets/music,battle_standard.ogg,Standard battle music - tense, strategic combat theme,"Create a standard battle theme. Tense, strategic music that builds tension during combat. Should have a sense of urgency without being overwhelming. Duration: 3-4 minutes, should loop well. Orchestral with percussion for battle rhythm."
assets/music,battle_intense.ogg,Intense battle music - high-stakes combat with rising tension,"Create an intense battle theme for critical moments. More aggressive than standard battle music, with rising tension and dramatic crescendos. Duration: 2-3 minutes, should loop dynamically. Heavy percussion and brass sections."
assets/music,battle_epic.ogg,Epic battle music - climactic final battles,"Create an epic battle theme for major confrontations. Grand, cinematic music with full orchestra, choir elements, and powerful motifs. Duration: 4-5 minutes, should loop majestically. Should feel like a movie soundtrack climax."
assets/music,victory_theme.ogg,Victory celebration music - triumphant and rewarding,"Create a victory theme. Triumphant, celebratory music that plays when battles are won. Should be uplifting and rewarding. Duration: 1-2 minutes, should feel conclusive. Orchestral with fanfare elements."
assets/music,defeat_theme.ogg,Defeat music - somber but not crushing reflection,"Create a defeat theme. Somber, reflective music for when battles are lost. Should convey disappointment but not be overly harsh. Duration: 1-1.5 minutes, should feel like a dignified conclusion. Muted orchestra with melancholic elements."
assets/music,emperor_battle.ogg,Emperor faction battle theme - regal and commanding,"Create an emperor battle theme. Regal, commanding orchestral music with imperial flair. Should feel authoritative and aristocratic. Duration: 3-4 minutes, should loop well. Heavy use of brass and strings for a commanding presence."
assets/music,conway_battle.ogg,Conway faction battle theme - mathematical and precise,"Create a Conway battle theme. Mathematical, precise music with algorithmic patterns. Perhaps incorporating geometric rhythms or mathematical sequences in the composition. Duration: 3-4 minutes, should loop with mathematical precision. Electronic elements mixed with orchestral."
assets/music,flappy_battle.ogg,Flappy faction battle theme - mechanical and inventive,"Create a Flappy battle theme. Mechanical, inventive music with gadget-like elements. Should sound like a workshop coming to life for battle. Duration: 3-4 minutes, should loop energetically. Mix of industrial sounds, clockwork rhythms, and orchestral elements."
assets/music,gemekaa_battle.ogg,Gemekaa faction battle theme - mystical and stormy,"Create a Gemekaa battle theme. Mystical, stormy music with thunder and arcane elements. Should feel like a gathering storm with magical undertones. Duration: 3-4 minutes, should loop dramatically. Heavy use of percussion for thunder effects and mystical choirs."
assets/music,doto_battle.ogg,DOTO faction battle theme - monstrous and aggressive,"Create a DOTO battle theme. Monstrous, aggressive music fitting for powerful creatures. Should be primal and terrifying. Duration: 3-4 minutes, should loop menacingly. Heavy percussion, low brass, and monstrous sound design elements."
assets/music,wizerds_battle.ogg,Wizerds faction battle theme - arcane and scholarly,"Create a Wizerds battle theme. Arcane, scholarly music with magical and intellectual elements. Should feel like ancient knowledge being unleashed. Duration: 3-4 minutes, should loop mysteriously. Mix of mystical choirs, ancient instruments, and orchestral elements."
assets/music,saviours_battle.ogg,Saviours faction battle theme - heroic and protective,"Create a Saviours battle theme. Heroic, protective music with valiant and defensive elements. Should inspire courage and protection. Duration: 3-4 minutes, should loop inspiringly. Uplifting orchestral with heroic motifs and defensive rhythms."
assets/music,mechanics_battle.ogg,Mechanics faction battle theme - industrial and innovative,"Create a Mechanics battle theme. Industrial, innovative music with mechanical and inventive elements. Should sound like machinery of war. Duration: 3-4 minutes, should loop powerfully. Industrial percussion, mechanical rhythms, and orchestral power."
assets/music,exploration.ogg,Exploration/world map music - adventurous and exploratory,"Create exploration music for world map or strategic overview. Adventurous, exploratory music that encourages strategic thinking. Duration: 2-3 minutes, should loop calmly. Light orchestral with adventurous motifs."
assets/music,cutscene_dramatic.ogg,Dramatic cutscene music - cinematic storytelling,"Create dramatic cutscene music. Cinematic, storytelling music for important narrative moments. Should build emotion and tension. Duration: 2-4 minutes depending on scene. Full orchestral with cinematic flair."
assets/music,cutscene_tragic.ogg,Tragic cutscene music - emotional, sorrowful moments,"Create tragic cutscene music. Emotional, sorrowful music for sad or tragic narrative moments. Should convey loss and reflection. Duration: 1.5-3 minutes. Muted orchestra with emotional depth."
assets/music,credits.ogg,Credits/endgame music - reflective and conclusive,"Create credits music. Reflective, conclusive music for endgame or credits. Should feel like a satisfying conclusion. Duration: 3-5 minutes, should loop or fade appropriately. Orchestral with emotional resolution."
assets/music,ambient_calm.ogg,Calm ambient music - peaceful moments between battles,"Create calm ambient music. Peaceful, atmospheric music for moments between battles or peaceful exploration. Duration: 4-6 minutes, should loop seamlessly. Light orchestral or electronic ambient."
assets/music,tension_building.ogg,Tension building music - approaching danger or decisions,"Create tension building music. Music that builds suspense for approaching danger or important decisions. Duration: 2-3 minutes, should build gradually. Orchestral with rising intensity."
assets/music,boss_approach.ogg,Boss/general approach music - intimidating prelude,"Create boss approach music. Intimidating, foreboding music that plays when facing powerful enemies. Should build dread. Duration: 1-2 minutes, should transition well into battle music. Ominous orchestral."
assets/music,transformation.ogg,Transformation music - magical change sequences,"Create transformation music. Magical, transformative music for character transformations or major changes. Duration: 0.5-1.5 minutes. Ethereal and mystical with orchestral elements."
